userIdInt,recommendations
36,"[{'8867': 3.17}, {'3229': 3.13}, {'5465': 3.12}, {'503': 3.1}, {'1664': 3.05}, {'32649': 3.03}, {'31148': 3.03}, {'135979': 3.01}, {'150602': 3.0}, {'6563': 2.99}, {'26788': 2.96}, {'26761': 2.95}, {'2673': 2.93}, {'189325': 2.93}, {'27513': 2.93}]"
37,"[{'7879': 3.47}, {'119565': 3.34}, {'985': 3.33}, {'31032': 3.26}, {'5626': 3.25}, {'114895': 3.25}, {'134109': 3.2}, {'7457': 3.18}, {'143353': 3.16}, {'7165': 3.14}, {'70992': 3.1}, {'169814': 3.09}, {'33410': 3.09}, {'5182': 3.09}, {'145028': 3.07}]"
38,"[{'145022': 4.26}, {'60135': 3.69}, {'189325': 3.67}, {'97395': 3.55}, {'172009': 3.54}, {'133716': 3.53}, {'114082': 3.5}, {'142857': 3.49}, {'4302': 3.46}, {'111387': 3.38}, {'140341': 3.38}, {'3229': 3.37}, {'85330': 3.36}, {'4538': 3.35}, {'73101': 3.33}]"
39,"[{'189325': 3.53}, {'43289': 2.9}, {'86096': 2.82}, {'145022': 2.79}, {'142857': 2.78}, {'32811': 2.45}, {'49668': 2.43}, {'142861': 2.4}, {'26809': 2.4}, {'62206': 2.39}, {'79236': 2.39}, {'60880': 2.39}, {'188187': 2.38}, {'53853': 2.36}, {'76758': 2.34}]"
40,"[{'8421': 5.0}, {'170024': 5.31}, {'157387': 5.16}, {'54198': 4.99}, {'58933': 4.8}, {'9019': 4.78}, {'1664': 4.76}, {'145994': 4.73}, {'148058': 4.6}, {'189325': 4.51}, {'130': 4.51}, {'140150': 4.5}, {'56511': 4.49}, {'167964': 4.49}, {'35386': 4.48}]"
41,"[{'30747': 4.17}, {'143239': 4.17}, {'6511': 4.16}, {'3229': 3.95}, {'108518': 3.83}, {'3335': 3.77}, {'5982': 3.59}, {'6121': 3.45}, {'26141': 3.44}, {'3905': 3.39}, {'3001': 3.31}, {'8635': 3.27}, {'2591': 3.21}, {'4698': 3.21}, {'32381': 3.1}]"
42,"[{'145022': 4.08}, {'189325': 3.53}, {'142857': 2.78}, {'3229': 2.76}, {'62206': 2.59}, {'79236': 2.59}, {'60880': 2.59}, {'188187': 2.58}, {'116839': 2.56}, {'120813': 2.55}, {'51167': 2.54}, {'115965': 2.53}, {'72899': 2.5}, {'117346': 2.47}, {'123180': 2.47}]"
43,"[{'145022': 4.42}, {'189325': 3.93}, {'142857': 2.95}, {'79236': 2.91}, {'60880': 2.91}, {'62206': 2.91}, {'71027': 2.68}, {'92118': 2.68}, {'72899': 2.64}, {'27093': 2.64}, {'158832': 2.62}, {'77344': 2.62}, {'80478': 2.62}, {'175217': 2.62}, {'63226': 2.62}]"
44,"[{'49225': 5.39}, {'27658': 5.27}, {'27646': 4.86}, {'8823': 4.41}, {'140769': 4.26}, {'174219': 4.25}, {'54198': 4.12}, {'1052': 4.11}, {'31148': 4.06}, {'174353': 4.01}, {'174169': 4.01}, {'174255': 4.01}, {'170939': 3.99}, {'171469': 3.96}, {'165397': 3.96}]"
45,"[{'34246': 3.8}, {'111680': 3.55}, {'8238': 3.5}, {'145022': 3.49}, {'131252': 3.46}, {'1543': 3.45}, {'115965': 3.33}, {'138680': 3.32}, {'32239': 3.29}, {'189325': 3.22}, {'6342': 3.22}, {'7343': 3.22}, {'143239': 3.21}, {'149130': 3.21}, {'49668': 3.19}]"
46,"[{'145022': 3.94}, {'192579': 3.41}, {'61037': 3.13}, {'58870': 3.06}, {'5939': 3.03}, {'3609': 2.95}, {'103022': 2.95}, {'136956': 2.94}, {'105130': 2.94}, {'108085': 2.89}, {'44073': 2.83}, {'60135': 2.83}, {'27544': 2.8}, {'60389': 2.79}, {'52170': 2.77}]"
47,"[{'31894': 3.76}, {'145022': 3.63}, {'96634': 3.17}, {'162726': 3.09}, {'94663': 3.04}, {'56167': 3.0}, {'34314': 2.91}, {'170939': 2.89}, {'165239': 2.79}, {'31107': 2.78}, {'81665': 2.77}, {'134109': 2.76}, {'79430': 2.75}, {'71116': 2.73}, {'139106': 2.72}]"
48,"[{'1664': 3.68}, {'189325': 3.2}, {'111320': 3.14}, {'7343': 3.12}, {'31148': 3.11}, {'9019': 3.07}, {'145022': 3.06}, {'65357': 3.03}, {'26761': 3.01}, {'115011': 2.94}, {'27096': 2.93}, {'89961': 2.9}, {'84122': 2.88}, {'188187': 2.87}, {'95670': 2.84}]"
49,"[{'8867': 4.76}, {'44073': 4.5}, {'2216': 4.48}, {'166777': 4.21}, {'65588': 4.2}, {'179285': 4.05}, {'32381': 3.99}, {'40752': 3.92}, {'49359': 3.83}, {'1098': 3.82}, {'96004': 3.81}, {'5037': 3.72}, {'8238': 3.71}, {'7341': 3.62}, {'69075': 3.61}]"
50,"[{'189325': 4.74}, {'145022': 4.15}, {'9019': 3.59}, {'84122': 3.49}, {'7343': 3.27}, {'985': 3.21}, {'157106': 3.2}, {'136443': 3.2}, {'114895': 3.15}, {'132569': 3.11}, {'112066': 3.08}, {'8257': 3.05}, {'97828': 3.05}, {'173535': 3.04}, {'4838': 3.04}]"
51,"[{'189325': 3.97}, {'145022': 3.33}, {'142857': 3.13}, {'142861': 2.82}, {'76158': 2.82}, {'98595': 2.78}, {'86096': 2.76}, {'71027': 2.75}, {'60880': 2.71}, {'62206': 2.71}, {'79236': 2.71}, {'7928': 2.7}, {'32811': 2.69}, {'4538': 2.65}, {'26835': 2.64}]"
52,"[{'7343': 3.47}, {'54198': 3.36}, {'9019': 3.36}, {'84122': 3.34}, {'1664': 3.33}, {'132569': 3.32}, {'189325': 3.24}, {'130': 3.07}, {'163941': 3.05}, {'35386': 3.05}, {'76758': 3.04}, {'5567': 2.99}, {'173535': 2.98}, {'7146': 2.98}, {'70229': 2.96}]"
53,"[{'189325': 3.47}, {'98065': 2.74}, {'89386': 2.64}, {'2768': 2.6}, {'76758': 2.51}, {'51167': 2.51}, {'171751': 2.51}, {'5783': 2.51}, {'133335': 2.49}, {'114895': 2.48}, {'173275': 2.44}, {'26520': 2.42}, {'2865': 2.41}, {'109556': 2.4}, {'7697': 2.39}]"
54,"[{'8867': 5.23}, {'1555': 4.78}, {'179285': 4.62}, {'44073': 4.44}, {'40752': 4.35}, {'166777': 4.27}, {'61628': 4.22}, {'145384': 4.22}, {'135290': 4.2}, {'154816': 4.14}, {'32375': 4.05}, {'105364': 4.05}, {'86096': 4.03}, {'5512': 4.0}, {'2216': 3.97}]"
55,"[{'145022': 4.66}, {'189325': 3.53}, {'142857': 3.26}, {'32811': 3.23}, {'71027': 3.08}, {'4538': 2.99}, {'107999': 2.89}, {'118252': 2.86}, {'51167': 2.85}, {'162726': 2.83}, {'86576': 2.75}, {'127154': 2.74}, {'30981': 2.73}, {'190089': 2.73}, {'85298': 2.72}]"
56,"[{'1664': 3.03}, {'189325': 2.7}, {'93649': 2.67}, {'31038': 2.65}, {'27513': 2.55}, {'9019': 2.55}, {'147726': 2.53}, {'6563': 2.48}, {'83158': 2.48}, {'8878': 2.44}, {'503': 2.39}, {'26761': 2.35}, {'93320': 2.29}, {'1549': 2.29}, {'150602': 2.29}]"
57,"[{'49225': 4.89}, {'174219': 4.31}, {'27658': 4.23}, {'174353': 3.89}, {'174255': 3.89}, {'174169': 3.89}, {'27646': 3.85}, {'171469': 3.84}, {'165397': 3.84}, {'100620': 3.79}, {'167532': 3.74}, {'174265': 3.68}, {'31148': 3.63}, {'89369': 3.6}, {'78022': 3.58}]"
58,"[{'142857': 3.5}, {'76158': 3.29}, {'145022': 3.27}, {'82591': 3.25}, {'71027': 3.24}, {'156783': 3.24}, {'189325': 3.23}, {'4538': 3.12}, {'49668': 3.09}, {'151767': 3.09}, {'116704': 3.06}, {'140341': 3.02}, {'127188': 2.95}, {'60356': 2.95}, {'134182': 2.93}]"
59,"[{'96009': 3.93}, {'189325': 3.81}, {'135290': 3.81}, {'4739': 3.68}, {'59832': 3.65}, {'142857': 3.58}, {'76158': 3.51}, {'32375': 3.48}, {'144448': 3.44}, {'4137': 3.41}, {'86096': 3.37}, {'103022': 3.35}, {'179285': 3.33}, {'153758': 3.29}, {'156783': 3.28}]"
60,"[{'70175': 5.17}, {'188625': 4.42}, {'105364': 4.21}, {'190089': 4.2}, {'151767': 4.12}, {'180737': 4.09}, {'7928': 4.06}, {'173427': 4.04}, {'167964': 3.96}, {'145022': 3.92}, {'137759': 3.91}, {'118252': 3.91}, {'127188': 3.87}, {'4739': 3.83}, {'49668': 3.82}]"
61,"[{'145022': 3.29}, {'189325': 3.21}, {'117310': 3.17}, {'77709': 2.94}, {'136443': 2.9}, {'3625': 2.89}, {'140150': 2.86}, {'107361': 2.86}, {'32442': 2.83}, {'173351': 2.82}, {'65588': 2.77}, {'172583': 2.7}, {'115973': 2.69}, {'48167': 2.68}, {'170024': 2.66}]"
62,"[{'6342': 5.0}, {'25900': 5.0}, {'192579': 5.38}, {'5216': 5.29}, {'161240': 4.91}, {'156783': 4.8}, {'140769': 4.78}, {'81665': 4.73}, {'84230': 4.71}, {'136249': 4.68}, {'7890': 4.65}, {'65300': 4.52}, {'128594': 4.5}, {'135979': 4.48}, {'3202': 4.46}]"
63,"[{'54198': 3.74}, {'145994': 3.66}, {'8421': 3.65}, {'1664': 3.62}, {'9019': 3.57}, {'189325': 3.47}, {'157387': 3.43}, {'170024': 3.41}, {'148058': 3.41}, {'54243': 3.32}, {'99397': 3.23}, {'90939': 3.2}, {'48389': 3.2}, {'76758': 3.19}, {'8462': 3.17}]"
64,"[{'8421': 5.31}, {'58933': 4.89}, {'145022': 4.64}, {'112066': 4.41}, {'188625': 4.34}, {'145994': 4.16}, {'157106': 4.09}, {'136443': 4.06}, {'101262': 3.97}, {'189325': 3.88}, {'175625': 3.78}, {'25762': 3.77}, {'70175': 3.76}, {'105364': 3.75}, {'118252': 3.63}]"
65,"[{'157387': 5.0}, {'145994': 5.0}, {'71728': 5.0}, {'87279': 5.0}, {'8867': 5.37}, {'66302': 5.25}, {'5035': 5.24}, {'167964': 5.22}, {'146327': 5.19}, {'132490': 5.06}, {'7226': 5.06}, {'166777': 5.06}, {'6563': 5.02}, {'90939': 4.97}, {'54243': 4.97}]"
66,"[{'26966': 5.0}, {'65588': 5.0}, {'40752': 5.0}, {'8238': 5.0}, {'173351': 5.0}, {'2216': 5.36}, {'67812': 5.36}, {'142158': 5.24}, {'96004': 5.06}, {'5037': 5.01}, {'167248': 4.92}, {'77709': 4.92}, {'47330': 4.91}, {'5939': 4.91}, {'66581': 4.9}]"
67,"[{'145022': 4.41}, {'189325': 3.29}, {'171749': 3.15}, {'162726': 3.06}, {'188751': 3.03}, {'173535': 2.93}, {'3625': 2.88}, {'46194': 2.87}, {'114760': 2.85}, {'98755': 2.82}, {'127154': 2.78}, {'142857': 2.77}, {'185951': 2.76}, {'188187': 2.75}, {'154941': 2.73}]"
68,"[{'114895': 3.4}, {'157106': 3.31}, {'114888': 3.0}, {'79254': 2.99}, {'133335': 2.93}, {'8142': 2.89}, {'158322': 2.89}, {'55106': 2.87}, {'6933': 2.79}, {'89632': 2.77}, {'8257': 2.71}, {'48389': 2.69}, {'411': 2.68}, {'189325': 2.67}, {'53022': 2.62}]"
69,"[{'7343': 5.0}, {'111320': 5.0}, {'1664': 5.0}, {'26761': 5.0}, {'84122': 5.0}, {'26966': 5.0}, {'69809': 5.0}, {'8674': 5.0}, {'149650': 5.0}, {'132569': 5.0}, {'5567': 5.0}, {'151313': 5.0}, {'27646': 5.0}, {'107718': 5.37}, {'40988': 5.35}]"
70,"[{'43289': 3.29}, {'189325': 3.18}, {'67812': 3.09}, {'40752': 3.04}, {'86096': 2.92}, {'146327': 2.79}, {'169288': 2.76}, {'5783': 2.71}, {'89584': 2.66}, {'105364': 2.65}, {'7578': 2.65}, {'61037': 2.64}, {'1555': 2.63}, {'32659': 2.61}, {'26809': 2.59}]"
71,"[{'145022': 3.93}, {'189325': 3.37}, {'3229': 2.54}, {'72899': 2.5}, {'92118': 2.47}, {'79236': 2.46}, {'60880': 2.46}, {'62206': 2.46}, {'114895': 2.42}, {'117310': 2.37}, {'68612': 2.36}, {'158832': 2.28}, {'1664': 2.27}, {'142452': 2.26}, {'83506': 2.24}]"
72,"[{'189325': 4.25}, {'40752': 3.5}, {'67812': 3.48}, {'5783': 3.43}, {'101893': 3.42}, {'43289': 3.35}, {'2591': 3.3}, {'49668': 3.29}, {'143239': 3.24}, {'124476': 3.24}, {'7578': 3.15}, {'96004': 3.13}, {'26809': 3.08}, {'8238': 3.04}, {'146327': 3.03}]"
73,"[{'145022': 3.81}, {'189325': 3.23}, {'188187': 2.68}, {'3229': 2.51}, {'72899': 2.51}, {'1664': 2.49}, {'79236': 2.47}, {'60880': 2.47}, {'62206': 2.47}, {'154939': 2.44}, {'92118': 2.41}, {'192579': 2.4}, {'158832': 2.36}, {'171749': 2.35}, {'116839': 2.34}]"
74,"[{'61037': 3.81}, {'91707': 3.54}, {'86096': 3.47}, {'192579': 3.41}, {'27320': 3.4}, {'152123': 3.36}, {'65315': 3.34}, {'58870': 3.27}, {'92122': 3.27}, {'5939': 3.18}, {'25797': 3.17}, {'6258': 3.16}, {'39410': 3.12}, {'142857': 3.11}, {'43289': 3.11}]"
75,"[{'31107': 3.27}, {'56511': 3.14}, {'117310': 3.11}, {'7343': 2.99}, {'47907': 2.92}, {'31038': 2.89}, {'130510': 2.82}, {'115011': 2.82}, {'115973': 2.79}, {'63458': 2.78}, {'92498': 2.77}, {'145022': 2.77}, {'96687': 2.74}, {'1664': 2.73}, {'189325': 2.73}]"
76,"[{'6511': 5.0}, {'3335': 5.0}, {'143239': 5.0}, {'3229': 5.0}, {'104141': 5.0}, {'26761': 5.0}, {'3905': 5.0}, {'151765': 5.0}, {'32851': 5.0}, {'83506': 5.0}, {'44115': 5.0}, {'1543': 5.0}, {'7341': 5.0}, {'8238': 5.0}, {'26157': 5.0}]"
77,"[{'65588': 5.0}, {'7343': 4.93}, {'136443': 4.7}, {'131237': 4.66}, {'117310': 4.64}, {'27827': 4.63}, {'115973': 4.6}, {'112066': 4.59}, {'56511': 4.5}, {'53046': 4.31}, {'170959': 4.31}, {'107361': 4.29}, {'985': 4.27}, {'170024': 4.2}, {'5223': 4.1}]"
78,"[{'33264': 5.36}, {'34246': 5.02}, {'9019': 4.88}, {'6121': 4.73}, {'89961': 4.62}, {'1543': 4.55}, {'871': 4.51}, {'8238': 4.5}, {'985': 4.32}, {'26581': 4.31}, {'8391': 4.3}, {'173351': 4.28}, {'3229': 4.26}, {'56511': 4.25}, {'5037': 4.2}]"
79,"[{'189325': 3.58}, {'145022': 3.39}, {'142857': 3.3}, {'27320': 3.24}, {'58870': 3.19}, {'61037': 3.1}, {'101893': 3.03}, {'71027': 3.01}, {'60135': 2.99}, {'60880': 2.96}, {'62206': 2.96}, {'79236': 2.96}, {'192579': 2.9}, {'89584': 2.88}, {'91970': 2.86}]"
80,"[{'49668': 4.79}, {'189325': 4.78}, {'26966': 4.73}, {'2216': 4.71}, {'6511': 4.65}, {'1555': 4.55}, {'32862': 4.49}, {'108518': 4.45}, {'5037': 4.24}, {'143239': 4.23}, {'173351': 4.21}, {'179285': 4.16}, {'8238': 4.16}, {'94542': 4.14}, {'47330': 4.08}]"
81,"[{'145022': 3.53}, {'3229': 3.43}, {'189325': 3.41}, {'1555': 3.31}, {'61937': 3.25}, {'33264': 3.2}, {'1664': 3.13}, {'8462': 3.03}, {'154939': 3.03}, {'173351': 3.01}, {'39410': 2.94}, {'89961': 2.94}, {'5465': 2.92}, {'5242': 2.92}, {'167870': 2.89}]"
